index,gender,spouse,age,nfamily,edu,debt,equity,dep
147,1,2,G5,2,3,75000,Q5,1
148,1,4,G3,2,4,2000,Q1,1
149,1,2,G5,2,3,0,Q2,1
150,1,2,G4,4,4,1500,Q2,1
151,1,2,G4,4,7,0,Q4,1
152,1,2,G4,3,5,5000,Q5,3
153,1,2,G4,4,6,12000,Q3,1
154,2,3,G5,1,4,0,Q1,2
155,1,2,G2,4,6,16009,Q4,1
156,2,1,G2,1,6,0,Q1,1
157,1,2,G5,3,4,0,Q2,1
158,1,1,G2,1,6,0,Q2,1
159,1,2,G4,4,4,10000,Q4,1
160,1,2,G5,2,7,38000,Q4,7
161,2,1,G1,1,5,3600,Q3,1
162,1,2,G5,2,1,50,Q5,1
163,2,4,G4,3,5,260,Q5,1
164,2,3,G5,1,2,0,Q1,1
165,1,2,G2,2,6,15000,Q4,1
166,1,2,G3,2,5,0,Q3,1
167,1,2,G2,3,6,9850,Q5,1
168,1,2,G5,3,7,91100,Q4,1
169,1,2,G5,3,6,0,Q5,2
170,2,1,G5,1,4,2851,Q3,1
171,1,2,G3,5,6,0,Q4,7
172,1,2,G4,4,4,20280,Q3,1
173,1,4,G5,1,4,800,Q2,1
174,1,2,G3,4,6,15304,Q4,1
175,1,2,G4,5,6,14300,Q5,4
176,1,1,G3,1,6,0,Q1,7
177,1,2,G3,4,6,1899,Q5,8
178,2,3,G5,1,3,2000,Q1,1
179,1,2,G3,4,5,0,Q5,2
180,1,2,G2,4,6,0,Q5,1
181,1,2,G4,4,4,700,Q1,1
182,1,2,G3,4,4,0,Q2,1
183,1,2,G3,4,7,29360,Q4,1
184,1,2,G3,4,4,50,Q1,1
185,1,2,G3,5,4,45000,Q5,1
186,1,2,G3,4,6,0,Q5,2
187,1,4,G5,1,2,0,Q2,3
188,2,2,G2,2,4,0,Q3,2
189,1,1,G1,1,6,320,Q2,1
190,1,2,G5,2,4,10,Q5,1
191,1,2,G3,5,4,30000,Q4,1
192,2,3,G5,1,1,200,Q1,1
193,1,2,G5,2,4,5000,Q3,1
194,1,2,G4,3,4,0,Q4,1
195,1,2,G3,4,6,14300,Q4,4
196,2,2,G5,3,3,1100,Q5,1
197,1,2,G5,3,4,2500,Q5,1
198,1,2,G3,4,4,100,Q2,1
199,1,2,G2,3,6,910,Q3,1
200,2,3,G5,1,2,6650,Q1,1
201,2,4,G4,3,3,2500,Q3,1
202,2,1,G2,3,7,9000,Q3,1
203,1,2,G4,4,6,10400,Q5,7
204,2,1,G4,1,4,0,Q4,1
205,1,2,G4,4,4,1250,Q3,1
206,1,2,G4,4,4,0,Q4,1
207,1,2,G3,4,4,2000,Q2,1
208,1,2,G3,4,7,25000,Q5,1
209,2,3,G5,1,1,0,Q1,1
210,1,2,G5,4,4,16980,Q5,1
211,1,2,G5,3,4,128500,Q4,1
212,2,1,G3,1,4,1700,Q2,1
213,2,1,G5,1,4,0,Q1,1
214,1,2,G5,5,6,12000,Q5,5
215,2,3,G5,1,2,0,Q2,3
216,2,4,G3,1,4,0,Q1,1
217,1,2,G3,4,6,7000,Q4,7
218,2,3,G5,1,4,0,Q5,10
219,1,2,G3,2,6,0,Q2,2
220,2,4,G3,3,4,1050,Q2,1
221,1,1,G2,3,6,0,Q4,1
222,2,3,G5,1,2,15000,Q3,1
223,1,2,G4,4,4,0,Q4,2
224,1,2,G5,4,4,20,Q5,1
225,1,2,G5,3,6,77150,Q5,1
226,1,2,G5,6,4,25000,Q5,1
227,1,2,G3,4,4,0,Q2,1
228,1,2,G5,2,4,25600,Q5,1
229,2,4,G4,3,4,5000,Q2,1
230,1,2,G4,4,6,8200,Q3,1
231,1,2,G4,4,4,16000,Q4,3
232,1,2,G5,4,7,10000,Q5,1
233,1,2,G3,4,6,5600,Q2,1
234,1,2,G2,4,7,29000,Q4,1
235,1,2,G4,4,6,0,Q4,1
236,1,2,G2,2,6,16000,Q2,1
237,1,2,G2,2,5,2100,Q1,4
238,1,2,G3,4,6,12050,Q2,7
239,1,1,G4,2,6,3000,Q2,1
240,1,2,G5,2,7,1000,Q5,1
241,1,2,G4,4,4,0,Q3,1
242,1,2,G3,4,7,60000,Q5,1
243,2,3,G5,1,5,0,Q5,1
244,1,2,G3,4,6,35000,Q5,1
245,1,2,G5,2,6,2000,Q5,1
246,2,4,G3,2,4,0,Q1,1
247,2,1,G2,2,4,3100,Q2,1
248,1,2,G2,3,6,0,Q2,1
249,2,2,G5,2,2,0,Q3,1
250,1,2,G5,2,2,12000,Q5,1
251,2,3,G5,1,4,4000,Q1,1
252,2,4,G4,2,4,8500,Q1,1
253,1,3,G4,2,3,2500,Q2,1
254,2,3,G5,2,1,1200,Q1,1
255,1,2,G5,4,3,0,Q3,1
256,2,2,G2,4,6,6000,Q4,1
257,2,4,G3,2,5,15000,Q5,1
258,2,3,G5,1,2,0,Q1,1
259,1,4,G4,4,4,0,Q1,1
260,1,2,G4,4,7,0,Q5,8
261,1,1,G1,1,6,0,Q2,1
262,1,1,G2,1,6,3900,Q2,2
263,1,2,G5,3,6,90000,Q5,1
264,2,1,G2,1,6,0,Q2,1
265,1,2,G3,4,6,49900,Q4,3
266,1,2,G4,4,4,3300,Q3,1
267,2,1,G4,1,3,2000,Q1,4
268,1,2,G5,2,2,0,Q1,1
269,1,2,G4,4,4,1000,Q1,1
270,1,2,G5,3,7,5000,Q5,1
271,2,1,G1,1,6,0,Q1,3
272,1,2,G3,5,6,24640,Q4,1
273,1,2,G3,4,4,0,Q1,1
274,1,2,G2,4,6,22500,Q4,1
275,1,1,G1,1,6,0,Q1,7
276,1,2,G3,4,7,11000,Q4,4
277,1,2,G3,4,5,34400,Q5,1
278,2,4,G5,1,4,4800,Q1,1
279,2,2,G2,3,7,2100,Q5,1
280,1,1,G3,1,4,140,Q2,1
281,1,2,G3,3,5,10000,Q5,4
282,1,2,G4,4,5,27000,Q5,2
283,1,2,G5,4,6,4500,Q4,1
284,2,3,G5,1,1,0,Q1,3
285,1,2,G5,2,2,0,Q2,1
286,2,3,G5,1,1,0,Q1,3
287,1,2,G3,4,7,6000,Q3,1
288,1,4,G3,1,7,14000,Q5,1
289,2,3,G5,1,2,200,Q1,1
290,1,2,G4,2,2,3097,Q3,1
291,1,2,G4,2,4,0,Q5,1
292,2,3,G5,1,3,0,Q1,1
293,2,3,G5,1,2,0,Q2,1
294,1,2,G2,3,6,3350,Q2,1
295,2,1,G2,1,4,0,Q1,1
296,2,2,G5,3,6,30,Q4,3
297,1,2,G5,2,3,1530,Q3,3
298,1,3,G5,1,3,10500,Q3,1
299,1,2,G5,4,4,2800,Q2,1
300,1,2,G4,4,4,2130,Q4,2
301,1,2,G2,2,5,2922,Q2,1
302,1,2,G5,2,4,0,Q4,1
303,1,2,G3,5,6,12000,Q3,1
304,2,2,G4,3,6,22000,Q3,1
305,1,2,G2,4,5,0,Q4,3
306,1,2,G5,2,3,0,Q2,1
307,2,1,G1,1,5,1300,Q1,1
308,1,2,G3,4,5,6974,Q3,1
309,1,2,G3,4,7,500,Q3,1
