V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164
2018,82600351,F,1084.055735,2078.262317,,G2,2,2,G2,G2,G2,G2,G2,3,1,G2,3,I,4,62,G5,4,G3,3,1,G1,G1,G2,G1,G2,Q2,Q2,,G3,Q2,Q2,,Q2,Q2,,10088,88,88,88,0,0,10000,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10088,3393,2157,1000,236,0,0,0,3078,,,,,,,,,315,315,55,180,0,80,0,1,2,2,2,2,2,,,1,2,,,,,,,,,,,,,,,,,,,
2018,82600361,F,1272.798684,2519.880719,,G2,1,3,G2,G2,G2,G2,G2,5,3,G3,2,O,3,29,G1,1,G1,1,1,G1,G1,G2,G2,G2,Q1,Q1,,G2,Q2,Q2,,Q2,Q2,,10092,1092,1092,1092,0,0,9000,9000,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10092,1542,396,0,13,723,410,1133,1481,,,,,,,,,61,61,8,9,20,24,0,2,3,3,2,3,2,,,3,2,,,,,,,,,,,,,,,,,,,
2018,82600371,F,982.925888,1945.991951,,G2,1,4,G2,G2,G2,G2,G2,6,1,G4,2,K,3,56,G4,1,G1,2,1,G1,G1,G3,G2,G2,Q5,Q5,,G6,Q4,Q4,,Q4,Q4,,42118,9348,9348,8928,420,0,32770,29550,15000,14550,0,3220,3100,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423,400,23,42118,11157,9496,1500,161,0,0,0,9297,,,,,,,,,1860,1860,710,657,320,150,23,2,2,1,2,2,1,3,1,,3,7,,,,,,,,,,,,,,,,,,
2018,82600381,F,997.1822885,1974.216704,,G2,2,1,G1,G2,G2,G2,G2,1,,G1,1,A,6,72,G5,4,G3,3,1,G1,G1,G3,G1,G1,Q1,Q1,,G1,Q2,Q2,,Q2,Q2,,13026,376,376,376,0,0,12650,12500,8000,4500,0,150,0,150,150,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,12826,688,180,20,18,470,0,470,629,,,,,,,,,59,59,9,0,50,0,0,1,4,1,4,4,2,,,3,1,,3,,2,,,1,20,,,1,,,,,,,,
2018,82600391,F,1135.664046,2248.382223,,G2,1,3,G2,G2,G2,G2,G2,4,1,G3,2,C,7,36,G2,1,G1,2,1,G1,G1,G2,G2,G1,Q3,Q3,,G3,Q3,Q3,,Q2,Q2,,31742,3499,3499,3499,0,0,28243,27500,18000,9500,0,743,400,343,343,0,20847,12847,12847,12422,0,0,0,0,425,0,12422,0,0,425,0,425,0,12422,0,0,12422,0,425,0,12422,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,818,433,385,10895,4668,4502,0,6,160,0,160,3595,,,,,,,,,1073,1073,50,426,200,12,385,1,6,1,3,2,1,5,5,,1,,1,1,2,,,2,,1,2,1,,,,,,,,
2018,82700301,P,1645.52003,,3322.888441,G2,1,4,G2,G2,G2,G2,G2,4,1,G3,2,G,9,48,G3,4,G3,2,1,G1,G1,G2,G2,G1,Q4,,Q4,G4,Q4,,Q4,Q3,,Q3,38080,14100,14100,10930,3170,0,23980,15000,15000,0,0,8980,5480,3500,3500,0,12000,12000,12000,0,0,0,0,12000,0,0,10000,0,0,2000,0,,,,,,10000,0,2000,0,10000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,895,500,395,26080,6741,245,6491,5,0,0,0,4897,6390,800,300,2300,200,1800,300,690,8234,1844,789,610,0,50,395,,,,,,,,,,,,,,,,,,,,,,1,65,200,300,4,,,
2018,82700311,P,1133.195717,,2288.323983,G2,1,2,G1,G2,G2,G2,G2,4,1,G3,2,C,3,65,G5,3,G3,2,1,G1,G1,G2,G2,G1,Q4,,Q4,G4,Q5,,Q5,Q5,,Q5,164240,3840,3840,3840,0,0,160400,154000,15000,139000,0,6400,700,5700,5700,0,51800,48800,47000,0,0,0,0,47000,0,0,47000,0,0,0,0,,,,,,0,47000,0,0,47000,0,1800,0,0,0,0,1800,0,0,1800,0,0,0,0,,,,,,0,1800,0,0,0,0,3000,5800,4000,1800,112440,5949,0,3000,2658,291,0,291,2820,4496,1200,210,0,1300,180,156,1450,7625,3129,508,185,600,36,1800,,,,,,,,,,,,,,,,,,,,,,1,81,200,250,3,,,
2018,82700341,P,1160.955997,,2427.752637,G2,1,3,G2,G2,G2,G2,G2,4,1,G3,2,L,9,64,G5,1,G1,2,3,G3,G2,G3,G1,G2,Q4,,Q4,G5,Q2,,Q2,Q2,,Q2,8012,7912,5912,5912,0,2000,100,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,8012,7087,2985,3000,118,984,0,984,6309,1676,450,516,0,30,250,150,280,2454,778,53,365,240,120,0,,,,,,,,,,,,,,,,,,,,,,1,70,200,300,5,,,
2018,82700351,P,1703.134937,,3561.539236,G2,1,4,G2,G2,G2,G2,G2,4,1,G3,2,C,7,55,G4,1,G1,2,1,G1,G1,G2,G2,G2,Q5,,Q5,G6,Q3,,Q3,Q3,,Q3,26692,11320,11320,11320,0,0,15372,15000,15000,0,0,372,200,172,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,26692,10746,9091,1200,148,247,60,307,9550,2647,980,288,0,34,332,318,695,3843,1196,458,642,0,96,0,,,,,,,,,,,,,,,,,,,,,,1,65,100,150,3,,,
2018,82700361,P,1062.986047,,2222.881131,G2,2,1,G2,G2,G2,G2,G2,4,1,G3,1,O,9,58,G4,2,G2,4,2,G2,G2,G2,G2,G1,Q1,,Q1,G2,Q2,,Q2,Q2,,Q2,9996,9976,1976,1976,0,8000,20,0,0,0,0,20,0,20,20,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,15,0,0,0,20,20,0,9981,1327,1281,0,0,46,0,46,1219,617,320,72,0,60,75,40,50,725,108,1,107,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,70,70,100,5,,,
