Code,involve,exhaust,gender,age,money,partjob,gpa,circle
10164,2,2.5,1,20,3,2,3,0
10165,2.75,3,1,23,5,2,3,1
10166,2.25,2.5,1,22,1,1,2,0
10167,1,3,1,25,4,1,2,1
10168,3,2.5,1,21,6,2,1,0
10169,4,2.25,1,24,3,1,3,1
10170,2.5,3.75,1,24,3,2,1,1
10171,2.75,2.75,1,24,3,2,3,1
10172,1.75,4.25,1,21,1,2,2,1
10173,1.25,3.25,0,19,4,2,1,1
10174,2,4,1,21,5,2,2,1
10175,1.5,3.5,0,19,3,1,3,1
10176,1.75,2.25,1,26,3,2,3,1
10177,1.5,1.5,1,18,3,2,2,1
10178,2.5,3.25,1,19,6,1,1,1
10179,2.75,3,1,18,4,2,3,1
10180,2.25,4.5,1,20,3,2,2,1
10181,2.25,3.25,0,19,2,2,4,1
10182,2,1.5,1,23,2,2,2,0
10183,3.5,2.5,1,22,4,2,3,0
10184,2,2.75,0,19,3,2,2,0
10185,2.5,2.75,1,20,1,2,2,0
10186,2.25,2,1,23,2,2,3,1
10187,4,2,1,22,1,1,4,0
10188,2.75,2.5,0,21,3,2,3,0
10189,3.25,1.75,1,22,3,2,1,1
10190,4.25,2.75,1,23,3,1,4,1
10191,2.25,3.25,0,20,3,1,3,0
10192,2.5,3,1,28,3,2,3,1
10193,2.5,3.25,1,27,3,2,3,1
10194,3,2.75,1,29,4,2,4,1
10195,3,3.25,1,25,4,2,3,0
10196,3.25,3.25,1,25,3,2,3,1
10197,3.25,3,1,24,3,2,3,0
10198,2.5,3,0,25,3,1,4,0
10199,3,3,1,27,4,2,3,1
10200,2.5,3,1,27,4,2,3,0
10201,3,3,1,28,4,1,3,0
10202,1,1.75,1,26,7,2,3,1
10203,2.25,3.25,0,19,4,2,1,1
10204,1.75,3,1,19,4,2,1,1
10205,2,2.5,0,24,4,2,3,1
10206,1.5,2.25,1,24,5,2,3,0
10207,2,2.25,1,23,4,2,3,0
10208,1.75,3.25,1,23,5,1,4,0
10209,2.25,2.75,0,22,4,1,3,1
10210,1.25,2.75,0,25,6,2,3,0
10211,1.75,3,1,21,5,1,4,1
10212,1.75,2.5,1,21,3,2,3,0
10213,2,3.5,1,19,3,2,2,1
10214,3.25,1.5,0,22,1,1,4,0
10215,2.25,2,0,21,4,1,5,1
10216,2,1.75,0,20,2,2,4,1
10217,2.25,4.25,1,23,3,2,3,0
10218,1.25,2,0,22,3,2,4,0
10219,2,3.25,1,21,3,2,4,0
10220,1.75,2.25,1,20,3,2,3,1
10221,2.75,2,1,23,3,1,3,0
10222,1.75,2.5,1,29,4,2,3,0
10223,2.25,2.75,1,27,4,2,4,0
10224,2.75,3.25,1,27,5,2,4,0
10225,2.25,3,1,25,4,1,2,1
10226,2.5,3,1,23,3,1,2,1
10227,3.5,2.75,1,23,4,1,2,1
10228,2,2.75,1,23,4,2,3,1
10229,2.75,3.25,0,22,4,2,4,1
10230,2.75,2.75,0,22,4,2,4,1
10231,2.25,3.25,0,22,4,1,2,1
10232,2.25,2.5,0,19,3,2,3,1
10233,2.75,2.25,1,21,3,2,2,1
10234,2.5,2.75,0,25,4,2,3,1
10235,3,2.5,1,24,4,2,3,1
10236,3.5,2.5,1,24,3,2,4,1
10237,3,2.75,0,20,5,2,5,1
10238,1.5,2,0,23,4,1,4,1
10239,2.75,3,1,22,4,2,4,1
10240,2.75,2.75,0,22,3,1,2,1
10241,3,2.5,0,21,4,2,4,1
10242,2,3,1,21,1,1,4,0
10243,3,4.75,1,19,3,1,3,1
10244,1.5,5,0,21,3,2,1,0
10245,1,3.25,0,21,4,2,4,1
10247,2.25,2.75,0,19,3,2,3,1
10248,1.5,3.75,0,20,3,2,4,0
10249,3,2,1,26,4,2,4,1
10250,3.5,2.25,1,24,3,2,3,1
10251,1.25,2.25,1,28,7,2,1,0
10252,3,3,1,27,7,2,3,1
10253,2.75,2.75,1,25,2,1,3,0
10254,1.5,2.5,0,20,4,1,2,0
10255,2.75,3.5,1,24,1,2,2,0
10256,3.25,2.75,1,21,3,2,1,1
10257,2.5,2.25,1,24,5,2,3,0
10258,2.25,3.5,1,21,4,2,1,0
10259,2.5,3,0,20,4,2,3,1
10260,2,2,1,23,1,1,1,1
10261,3.25,2.25,1,24,3,2,2,0
10262,2.25,2.5,1,22,3,2,4,0
10263,2.5,3,0,19,2,2,2,1
10264,3,3,1,27,7,2,3,0
10265,2.5,2,1,25,6,1,2,1
10266,2.5,3.75,0,24,4,2,3,1
10267,1.5,2.5,1,25,4,2,2,0
