연도,GDP성장률,지방세성장률
1983,12.2,0.13
1984,9.9,0.08
1985,7.5,0.04
1986,12.2,0.12
1987,12.3,0.24
1988,11.7,-0.02
1989,6.8,0.99
1990,9.3,0.14
1991,9.7,0.17
1992,5.8,0.09
1993,6.3,0.1
1994,8.8,0.09
1995,8.9,0.05
1996,7.2,0.08
1997,5.8,0.11
1998,-5.7,-0.15
1999,10.7,0.07
2000,8.8,0.08
2001,4,0.24
2002,7.2,0.17
2003,2.8,0.02
2004,4.6,-0.06
2005,4,0.09
2006,5.2,0.13
2007,5.1,-0.01
2008,2.3,-0.01
2009,0.3,-0.02
2010,6.3,0.08
2011,3.7,0.01
